timestamp,bits,ascii,hex,status
13:18:00.213,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:00.716,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:01.216,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:01.716,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:02.219,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:02.719,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:03.219,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:03.722,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:04.223,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:04.723,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:05.222,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:05.726,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:06.226,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:06.726,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:07.229,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:07.729,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:08.229,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:08.732,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:09.232,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:09.732,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:10.235,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:10.735,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:11.235,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:12.239,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:12.739,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:13.242,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:13.742,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:14.242,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:15.245,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:15.745,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:16.245,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:16.748,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:17.248,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:17.748,11011000111001011110010001000101010001000101100001011001,"..'.""..",1B A7 27 A2 22 1A 9A,OK
13:18:18.251,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:18.751,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:19.252,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:19.755,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:20.255,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:20.755,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:21.258,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:21.758,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:22.258,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:22.761,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:23.261,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:23.761,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:24.264,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:24.764,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:25.264,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:25.764,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:26.268,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:26.768,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:27.268,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:27.771,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:28.271,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:28.771,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:29.274,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:29.774,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:30.274,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:30.777,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:31.277,11011000111001011110010001000101010001000101100001011001,"..'.""..",1B A7 27 A2 22 1A 9A,OK
13:18:31.777,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:32.281,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:32.780,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:33.280,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:33.780,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:34.284,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:34.784,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:35.287,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:35.787,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:36.287,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:36.787,00101100011100101111001000100010101000100010110000101100,4NODE44,34 4E 4F 44 45 34 34,OK
13:18:37.290,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:37.790,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:38.290,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:38.793,01101100010000101100001000100010101000100100110001101100,6BCDE26,36 42 43 44 45 32 36,OK
13:18:39.293,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:39.793,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:40.297,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:40.796,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:41.297,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:41.800,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:42.300,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:42.800,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:43.300,01101100011100101111001000100010101000100110110001011000,6NODE6.,36 4E 4F 44 45 36 1A,OK
13:18:43.803,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:44.303,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:44.806,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:45.306,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:45.806,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:46.306,01101100011100101100001000100010101000100100110001001100,6NCDE22,36 4E 43 44 45 32 32,OK
13:18:46.809,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:47.309,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:47.809,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:48.313,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:48.812,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:18:49.313,00101100011100101111001000100010101000100010110000101100,4NODE44,34 4E 4F 44 45 34 34,OK
13:18:49.816,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:50.316,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:50.816,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:51.319,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:51.819,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:52.319,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:52.822,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:53.322,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:54.325,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:54.826,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:55.326,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:55.829,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:56.329,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:56.829,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:57.329,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:57.832,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:58.332,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:58.832,11001100011100101111001000100010101000101100110011001100,3NODE33,33 4E 4F 44 45 33 33,OK
13:18:59.335,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:18:59.835,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:00.335,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:19:00.838,01101100011100101111001000100010101000100110110001101100,6NODE66,36 4E 4F 44 45 36 36,OK
13:19:01.338,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:02.342,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:02.842,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:03.841,10101100011100101111001000100010101000101010110010101100,5NODE55,35 4E 4F 44 45 35 35,OK
13:19:04.345,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:04.845,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:05.348,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:05.848,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
13:19:06.348,00001100011100101111001000100010101000100000110000001100,0NODE00,30 4E 4F 44 45 30 30,OK
